time,key,value,table
2020-05-15T04:13:57Z,Maniwaki,5,areas
2020-05-15T04:13:57Z,Montebello,5,areas
2020-05-15T04:13:57Z,MRC du Pontiac,5,areas
2020-05-15T04:13:57Z,Papineauville,5,areas
2020-05-15T04:13:57Z,Plaisance,5,areas
2020-05-15T04:13:57Z,Ripon,5,areas
2020-05-15T04:13:57Z,RLS de Gatineau,301,rls
2020-05-15T04:13:57Z,RLS de la Vallée-de-la-Gatineau,5,rls
2020-05-15T04:13:57Z,RLS de Papineau,41,rls
2020-05-15T04:13:57Z,RLS des Collines-de-l'Outaouais,17,rls
2020-05-15T04:13:57Z,RLS du Pontiac,5,rls
2020-05-15T04:13:57Z,Saint-André-Avellin,7,areas
2020-05-15T04:13:57Z,Sainte-Thérèse-de-la-Gatineau,5,areas
2020-05-15T04:13:57Z,Thurso,5,areas
2020-05-15T04:13:57Z,To be determined,1,areas
2020-05-15T04:13:57Z,To be determined,1,rls
2020-05-15T04:13:57Z,Total cases,366,areas
2020-05-15T04:13:57Z,Total cases,366,rls
2020-05-15T04:13:57Z,Val-des-Monts,7,areas
2020-05-16T00:03:20Z,Active cases,121,rls
2020-05-16T00:03:20Z,Blue Sea,5,areas
2020-05-16T00:03:20Z,Cantley,8,areas
2020-05-16T00:03:20Z,Deaths,10,rls
2020-05-16T00:03:20Z,Fassett,5,areas
2020-05-16T00:03:20Z,Gatineau,313,areas
2020-05-16T00:03:20Z,Healed/resolved cases,236,rls
2020-05-16T00:03:20Z,L'Ange-Gardien,8,areas
2020-05-16T00:03:20Z,La Pêche,5,areas
2020-05-16T00:03:20Z,Lac-des-Plages,5,areas
2020-05-16T00:03:20Z,Maniwaki,5,areas
2020-05-16T00:03:20Z,Montebello,5,areas
2020-05-16T00:03:20Z,MRC du Pontiac,5,areas
2020-05-16T00:03:20Z,Papineauville,5,areas
2020-05-16T00:03:20Z,Plaisance,5,areas
2020-05-16T00:03:20Z,Ripon,5,areas
2020-05-16T00:03:20Z,RLS de Gatineau,301,rls
2020-05-16T00:03:20Z,RLS de la Vallée-de-la-Gatineau,5,rls
2020-05-16T00:03:20Z,RLS de Papineau,42,rls
2020-05-16T00:03:20Z,RLS des Collines-de-l'Outaouais,17,rls
2020-05-16T00:03:20Z,RLS du Pontiac,5,rls
2020-05-16T00:03:20Z,Saint-André-Avellin,7,areas
2020-05-16T00:03:20Z,Sainte-Thérèse-de-la-Gatineau,5,areas
2020-05-16T00:03:20Z,Thurso,5,areas
2020-05-16T00:03:20Z,To be determined,2,areas
2020-05-16T00:03:20Z,To be determined,1,rls
2020-05-16T00:03:20Z,Total cases,367,areas
2020-05-16T00:03:20Z,Total cases,367,rls
2020-05-16T00:03:20Z,Val-des-Monts,7,areas
2020-05-17T22:18:56Z,Active cases,142,rls
2020-05-17T22:18:56Z,Blue Sea,5,areas
2020-05-17T22:18:56Z,Cantley,8,areas
2020-05-17T22:18:56Z,Deaths,11,rls
2020-05-17T22:18:56Z,Fassett,5,areas
2020-05-17T22:18:56Z,Gatineau,313,areas
2020-05-17T22:18:56Z,Healed/resolved cases,242,rls
2020-05-17T22:18:56Z,L'Ange-Gardien,8,areas
2020-05-17T22:18:56Z,La Pêche,5,areas
2020-05-17T22:18:56Z,Lac-des-Plages,5,areas
2020-05-17T22:18:56Z,Maniwaki,5,areas
2020-05-17T22:18:56Z,Montebello,5,areas
2020-05-17T22:18:56Z,MRC du Pontiac,5,areas
2020-05-17T22:18:56Z,Papineauville,5,areas
2020-05-17T22:18:56Z,Plaisance,5,areas
2020-05-17T22:18:56Z,Ripon,5,areas
2020-05-17T22:18:56Z,RLS de Gatineau,327,rls
2020-05-17T22:18:56Z,RLS de la Vallée-de-la-Gatineau,5,rls
2020-05-17T22:18:56Z,RLS de Papineau,44,rls
2020-05-17T22:18:56Z,RLS des Collines-de-l'Outaouais,18,rls
2020-05-17T22:18:56Z,RLS du Pontiac,5,rls
2020-05-17T22:18:56Z,Saint-André-Avellin,7,areas
2020-05-17T22:18:56Z,Sainte-Thérèse-de-la-Gatineau,5,areas
2020-05-17T22:18:56Z,Thurso,5,areas
2020-05-17T22:18:56Z,To be determined,28,areas
2020-05-17T22:18:56Z,To be determined,0,rls
2020-05-17T22:18:56Z,Total cases,395,areas
2020-05-17T22:18:56Z,Total cases,395,rls
2020-05-17T22:18:56Z,Val-des-Monts,7,areas
2020-05-18T22:46:31Z,Active cases,135,rls
2020-05-18T22:46:31Z,Blue Sea,5,areas
2020-05-18T22:46:31Z,Cantley,8,areas
2020-05-18T22:46:31Z,Deaths,11,rls
2020-05-18T22:46:31Z,Fassett,5,areas
2020-05-18T22:46:31Z,Gatineau,313,areas
2020-05-18T22:46:31Z,Healed/resolved cases,258,rls
2020-05-18T22:46:31Z,L'Ange-Gardien,8,areas
2020-05-18T22:46:31Z,La Pêche,5,areas
2020-05-18T22:46:31Z,Lac-des-Plages,5,areas
2020-05-18T22:46:31Z,Maniwaki,5,areas
